ID,recycling location name,address,city,zip,countyID,phone,full address,lat,lon
321,Angel's Recycling,8949 Reseda Blvd,Northridge,91324,06037,(818) 300-4857,"8949 Reseda Blvd Northridge, CA 91324",34.2333296,-118.5365471
322,Angel's Recycling #2,19333 Victory Blvd,Tarzana,91335-6302,06037,(818) 300-4857,"19333 Victory Blvd Tarzana, CA 91335-6302",34.1876769,-118.5545374
323,Angelicas Recycling,608 E 89Th St,Los Angeles,90003,06037,(323) 750-0190,"608 E 89Th St Los Angeles, CA 90003",33.9553899,-118.2648214
324,Aras Recycling,4203 Tyler Ave,El Monte,91731,06037,(323) 228-0101,"4203 Tyler Ave El Monte, CA 91731",34.0832628,-118.0318489
325,Armbar Recycling Inc,2825 S Diamond Bar Blvd,Diamond Bar,91765,06037,(818) 334-0934,"2825 S Diamond Bar Blvd Diamond Bar, CA 91765",33.9744241,-117.8395040
326,ASCO Metals,13014 Los Nietos Rd,Santa Fe Springs,90670,06037,(562) 944-6306,"13014 Los Nietos Rd Santa Fe Springs, CA 90670",33.9451995,-118.0542856
327,ASOCC Recycling Center,2701 Fairview Rd,Costa Mesa,92626,06059,(714) 432-5131,"2701 Fairview Rd Costa Mesa, CA 92626",33.6706732,-117.9093803
328,Atlas Iron and Metal,10019 S Alameda St,Los Angeles,90002,06037,(323) 566-5184,"10019 S Alameda St Los Angeles, CA 90002",33.9457501,-118.2289853
329,AV Recycling,3505 E Palmdale Blvd,Palmdale,93550,06037,(213) 839-0501,"3505 E Palmdale Blvd Palmdale, CA 93550",34.5804879,-118.0670002
330,B & P Recycling,8162 Talbert St,Huntington Beach,92646,06059,(949) 200-2046,"8162 Talbert St Huntington Beach, CA 92646",33.7009381,-117.9868137
331,Bargain Center,6355 Compton Ave,Los Angeles,90001,06037,(323) 753-3491,"6355 Compton Ave Los Angeles, CA 90001",33.9819182,-118.2478978
332,Basic Fibres Inc,6019 S Manhattan Pl,Los Angeles,90047,06037,(323) 753-3491,"6019 S Manhattan Pl Los Angeles, CA 90047",33.9844349,-118.3103567
333,Basic Fibres Inc,6116 S Manhattan Pl,Los Angeles,90047,06037,(323) 753-3491,"6116 S Manhattan Pl Los Angeles, CA 90047",33.9839746,-118.3092529
334,Beachside Recycling Inc,8601 Edison Dr B,Huntington Beach,92646,06059,(714) 969-7638,"8601 Edison Dr B Huntington Beach, CA 92646",33.6483655,-117.9776630
335,Bellflower Recycling Center,17326 S Woodruff Ave,Bellflower,90706,06037,(562) 804-7270,"17326 S Woodruff Ave Bellflower, CA 90706",33.8750774,-118.1167057
336,Benites Recycling,43157 20Th St West,Lancaster,93534,06037,(661) 445-1636,"43157 20Th St West Lancaster, CA 93534",34.6673613,-118.1662515
337,Berber Recycling,6216 Crenshaw Blvd,Los Angeles,90043,06037,(213) 352-0002,"6216 Crenshaw Blvd Los Angeles, CA 90043",33.9832944,-118.3305467
338,Berber Recycling,12925 Saticoy St,North Hollywood,91605,06037,(213) 352-0002,"12925 Saticoy St North Hollywood, CA 91605",34.2071028,-118.4153519
339,Bestway Recycling,1012 W Gardena Blvd,Gardena,90247,06037,(310) 720-0650,"1012 W Gardena Blvd Gardena, CA 90247",33.8805580,-118.2920248
340,Bionet Inc,5402 Walnut Ave,Irvine,92604,06059,(909) 908-8589,"5402 Walnut Ave Irvine, CA 92604",33.6904599,-117.7696799
341,Blue - New Way Recycling LLC,1951 W 16Th St,Long Beach,90813,06037,(323) 992-5251,"1951 W 16Th St Long Beach, CA 90813",33.7874993,-118.2182826
342,Blue New Way Recycling LLC,1534 E Florence Ave,Los Angeles,90001,06037,(323) 992-5251,"1534 E Florence Ave Los Angeles, CA 90001",33.9743939,-118.2463598
343,Boyle Heights Recycling,2503 Whittier Blvd,Los Angeles,90023,06037,(323) 662-2904,"2503 Whittier Blvd Los Angeles, CA 90023",34.0337297,-118.2138229
344,Broadway Recycling Center,8432 S Broadway,Los Angeles,90003,06037,(323) 841-3492,"8432 S Broadway Los Angeles, CA 90003",33.9622243,-118.2777744
345,Brothers Recycling Center,1340 S Bonnie Beach Pl,Los Angeles,90023,06037,(213) 245-5476,"1340 S Bonnie Beach Pl Los Angeles, CA 90023",34.0154850,-118.1809290
346,Bruce Metal and Salvage Inc,920 E 6Th St,Santa Ana,92701,06059,(714) 543-1300,"920 E 6Th St Santa Ana, CA 92701",33.7496442,-117.8584700
347,Bullis Recycling,1940 N Bullis Rd,Compton,90221,06037,(818) 298-6040,"1940 N Bullis Rd Compton, CA 90221",33.9085189,-118.2067164
348,Burbank Recycle Center,500 S Flower St,Burbank,91502,06037,(818) 276-0434,"500 S Flower St Burbank, CA 91502",34.1756357,-118.3084700
349,C & M Metals Inc,1709 E 24Th St,Vernon,90058,06037,(323) 234-4662x102,"1709 E 24Th St Vernon, CA 90058",34.0153150,-118.2426461
350,Cal Recycling,19318 Soledad Canyon Rd,Canyon Country,91351,06037,(818) 523-8778,"19318 Soledad Canyon Rd Canyon Country, CA 91351",34.4147279,-118.4726330
351,Cal Recycling,636 W Ventura St,Fillmore,93015,06111,(818) 523-8778,"636 W Ventura St Fillmore, CA 93015",34.3947202,-118.9303329
352,Calderon Recycling,5718 S Central Ave,Los Angeles,90011,06037,(323) 592-2933,"5718 S Central Ave Los Angeles, CA 90011",33.9906936,-118.2562827
353,Calderon Recycling,1754 Grande Vista,Los Angeles,90023,06037,(323) 592-2933,"1754 Grande Vista Los Angeles, CA 90023",34.0134175,-118.2069854
354,Camacho Recycle,5121 Gage Ave,Bell,90201,06037,(310) 658-4974,"5121 Gage Ave Bell, CA 90201",33.9769146,-118.1738423
355,Camacho Recycling,914 W Edinger,Santa Ana,92707,06059,(714) 684-9746,"914 W Edinger Santa Ana, CA 92707",33.7268929,-117.8772590
356,Candoo Recycling,13211 Gladstone Ave,Sylmar,91342,06037,,"13211 Gladstone Ave Sylmar, CA 91342",34.3102074,-118.4294765
357,Cans For Coins,2521 W Mcfadden Ave,Santa Ana,92704,06059,(714) 623-4003,"2521 W Mcfadden Ave Santa Ana, CA 92704",33.7354510,-117.9035710
358,Cardona Recycling,6711 S Alameda St,Los Angeles,90001,06037,(323) 402-5702,"6711 S Alameda St Los Angeles, CA 90001",33.9784445,-118.2360600
359,Carrousel Recycling Center,4801 S Broadway,Los Angeles,90037,06037,(323) 503-0909,"4801 S Broadway Los Angeles, CA 90037",33.9991184,-118.2785641
360,Century Jr 2 Recycling,1618 W Washington Blvd,Los Angeles,90014,06037,(323) 453-5275,"1618 W Washington Blvd Los Angeles, CA 90014",34.0398304,-118.2922123
361,Century Recycling,3516 E Slauson Ave,Maywood,90270,06037,(323) 394-5123,"3516 E Slauson Ave Maywood, CA 90270",33.9885556,-118.2019850
362,Chavira Recycling,3210 W Avenue L,Lancaster,93536,06037,(661) 936-8412,"3210 W Avenue L Lancaster, CA 93536",34.6599972,-118.1883798
363,Chavira Recycling,1436 W Ave I,Lancaster,93534,06037,(661) 936-8412,"1436 W Ave I Lancaster, CA 93534",34.7037655,-118.1563625
364,Chino Hills Recycling,4200 Chino Hills Pkwy,Chino Hills,91709,06071,(818) 281-9999,"4200 Chino Hills Pkwy Chino Hills, CA 91709",33.9843087,-117.7146733
365,Chris Recycling,1024 S Central Ave,Los Angeles,90021,06037,(323) 313-8464,"1024 S Central Ave Los Angeles, CA 90021",34.0306279,-118.2444621
366,Claros Recycle,3200 S Main St,Los Angeles,90007,06037,(562) 417-2008,"3200 S Main St Los Angeles, CA 90007",34.0195283,-118.2718940
367,Clean N' Green Recycling,1007 W Avenue I,Lancaster,93534,06037,(818) 818-3371,"1007 W Avenue I Lancaster, CA 93534",34.7042306,-118.1484970
368,Corner X Recycling,3315 E Washington Blvd,Los Angeles,90023,06037,(747) 344-2941,"3315 E Washington Blvd Los Angeles, CA 90023",34.0142119,-118.2074451
369,Coronado Recycling Center,2507 W Temple St,Los Angeles,90026,06037,(310) 666-0455,"2507 W Temple St Los Angeles, CA 90026",34.0723115,-118.2736605
370,Corridor Recycling,22500 S Alameda St,Carson,90810,06037,(310) 835-9109,"22500 S Alameda St Carson, CA 90810",33.9268502,-118.2249660
371,Cortes Recycling,228 E Manchester Ave,Los Angeles,90003,06037,(323) 534-8614,"228 E Manchester Ave Los Angeles, CA 90003",33.9596465,-118.2706318
372,CR&R Inc,11262 Western Ave,Stanton,90680,06059,(714) 826-9049,"11262 Western Ave Stanton, CA 90680",33.7988960,-118.0014509
373,Criss Recycling,1013 E Palmdale Blvd,Palmdale,93550,06037,(818) 524-0182,"1013 E Palmdale Blvd Palmdale, CA 93550",34.5797767,-118.1112493
374,CRV Only Store Inc,7621 Van Nuys Blvd,Van Nuys,91405,06037,(805) 404-7221,"7621 Van Nuys Blvd Van Nuys, CA 91405",34.2089996,-118.4494575
375,CRV Only Store Inc,5727 Kanan Rd,Agoura Hills,91301,06037,(805) 404-7221,"5727 Kanan Rd Agoura Hills, CA 91301",34.1551737,-118.7585165
376,CRV Recycle Center Inc,1724 E Avenida De Los Arboles,Thousand Oaks,91362,06111,(805) 404-7221,"1724 E Avenida De Los Arboles Thousand Oaks, CA 91362",34.2103882,-118.8470005
377,CRV Recycle Center Inc,20028 Saticoy St,Winnetka,91306,06037,(805) 404-7221,"20028 Saticoy St Winnetka, CA 91306",34.2079420,-118.5699870
378,CRV Recycle Center Inc,4626 E Alondra Blvd,Compton,90221,06037,(805) 404-7221,"4626 E Alondra Blvd Compton, CA 90221",33.8886740,-118.1910696
379,CRV Recycle Center Inc,14650 Parthenia St,Panorama City,91402,06037,(805) 404-7221,"14650 Parthenia St Panorama City, CA 91402",34.2273772,-118.4526770
380,CRV Recycle Center Inc,829 E Compton Blvd,Compton,90221,06037,(805) 404-7221,"829 E Compton Blvd Compton, CA 90221",33.8962389,-118.2142171
381,CRV Recycle Center Inc,22728 Roscoe Blvd,West Hills,91304,06037,(805) 404-7221,"22728 Roscoe Blvd West Hills, CA 91304",34.2192200,-118.6222400
382,CRV Recycling Solutions,8888 Chapman Ave,Garden Grove,92841,06059,(818) 203-3035,"8888 Chapman Ave Garden Grove, CA 92841",33.7880329,-117.9770866
383,CRV Recycling Solutions,2660 Park Center Dr,Simi Valley,93065,06111,(833) 970-1010,"2660 Park Center Dr Simi Valley, CA 93065",34.2839198,-118.7954247
384,CRV Recycling Solutions,7511 Orangethorpe Ave,Buena Park,90621,06059,(818) 203-3035,"7511 Orangethorpe Ave Buena Park, CA 90621",33.8603692,-118.0017815
385,CRV Recycling Solutions,1800 E Collins Ave,Orange,92867,06059,(818) 203-3035,"1800 E Collins Ave Orange, CA 92867",33.8017449,-117.8347010
386,CRV Recycling Solutions,851 N Harbor Blvd,La Habra,90631,06059,(818) 203-3035,"851 N Harbor Blvd La Habra, CA 90631",33.9399277,-117.9343086
387,CRV Recycling Solutions,26892 La Paz Rd,Aliso Viejo,92656,06059,(833) 970-1010,"26892 La Paz Rd Aliso Viejo, CA 92656",33.5720500,-117.7061260
388,D & G Recycling,1106 S Bristol St,Santa Ana,92707,06059,(714) 574-3842,"1106 S Bristol St Santa Ana, CA 92707",33.7341299,-117.8860868
389,D & R Recycling,5219 S Vermont Ave,Los Angeles,90037,06037,(818) 262-1300,"5219 S Vermont Ave Los Angeles, CA 90037",33.9944871,-118.2917964
390,D&T Recycling Center,14113 Garfield Ave,Paramount,90723,06037,(562) 531-4990,"14113 Garfield Ave Paramount, CA 90723",33.9050655,-118.1695253
391,Dadaian Recycling,1212 E Slauson Ave,Los Angeles,90011,06037,(323) 235-4115,"1212 E Slauson Ave Los Angeles, CA 90011",33.9890763,-118.2534302
392,Dajes Recycling,181 E Vernon Ave,Los Angeles,90011,06037,(323) 571-6854,"181 E Vernon Ave Los Angeles, CA 90011",34.0040013,-118.2722273
393,De La Cruz Recycling,15025 Roscoe Blvd,Panorama City,91402,06037,(661) 466-3286,"15025 Roscoe Blvd Panorama City, CA 91402",34.2217435,-118.4603477
394,Delgado Recycling,8848 Bradley Ave,Sun Valley,91352,06037,(323) 602-3735,"8848 Bradley Ave Sun Valley, CA 91352",34.2302578,-118.3762805
395,Delgado Recycling,8771 S Central Ave,Los Angeles,90002,06037,(323) 602-3735,"8771 S Central Ave Los Angeles, CA 90002",33.9576990,-118.2567790
396,Deniz Recycling,10706 Vanowen St,North Hollywood,91605,06037,(818) 760-2353,"10706 Vanowen St North Hollywood, CA 91605",34.1936899,-118.3639230
397,Diegos Recycling,5519 S Central Ave,Los Angeles,90011,06037,(323) 314-5071,"5519 S Central Ave Los Angeles, CA 90011",33.9919809,-118.2567040
398,DK Recycling,901 E 31St St Unit C,Los Angeles,90011,06037,(323) 568-6753,"901 E 31St St Unit C Los Angeles, CA 90011",34.0162093,-118.2595171
399,DK Recycling,5545 Holmes Ave,Los Angeles,90058,06037,(323) 568-6753,"5545 Holmes Ave Los Angeles, CA 90058",33.9916921,-118.2413879
400,DK Recycling Center,2320 Southwest Dr,Los Angeles,90043,06037,(323) 568-6753,"2320 Southwest Dr Los Angeles, CA 90043",33.9824888,-118.3193723
401,Downtown Metals & Recycling Center,526 S Alameda St,Los Angeles,90013,06037,(213) 625-8165,"526 S Alameda St Los Angeles, CA 90013",34.0405995,-118.2378538
402,E & M Recycling Co,1101 W Commonwealth Ave,Fullerton,92833,06059,(714) 451-4231,"1101 W Commonwealth Ave Fullerton, CA 92833",33.8703776,-117.9433754
403,E & M Recycling Co,4001 Inglewood Ave,Redondo Beach,90278,06037,(310) 421-0251,"4001 Inglewood Ave Redondo Beach, CA 90278",33.8922221,-118.3622085
404,E & M Recycling Co,928 N Euclid St,Anaheim,92801,06059,(714) 242-4077,"928 N Euclid St Anaheim, CA 92801",33.8453327,-117.9414217
405,E&C Recycling,9700 Woodman Ave,Arleta,91331,06037,(562) 209-0003,"9700 Woodman Ave Arleta, CA 91331",34.2467406,-118.4475230
406,East L A Recycling Center,2750 E 1St St,Los Angeles,90033,06037,(213) 235-0050,"2750 E 1St St Los Angeles, CA 90033",34.0407421,-118.2057103
407,East LA Recycling,4730 E Olympic Blvd,Los Angeles,90022,06037,(323) 740-9590,"4730 E Olympic Blvd Los Angeles, CA 90022",34.0178214,-118.1672794
408,EcoGreen Recycling,12172 Truman St,San Fernando,91340,06037,(213) 245-5476,"12172 Truman St San Fernando, CA 91340",34.2918655,-118.4496801
409,EDCO Recycling & Transfer,2755 California Ave,Signal Hill,90755,06037,(760) 744-5615,"2755 California Ave Signal Hill, CA 90755",33.8076894,-118.1819309
410,Eric's Recycling Center,19503 Normandie Ave,Torrance,90501,06037,(323) 333-0021,"19503 Normandie Ave Torrance, CA 90501",33.8570133,-118.3002276
411,Eric's Recycling Center,11115 Tuxford St,Sun Valley,91352,06037,(323) 333-0021,"11115 Tuxford St Sun Valley, CA 91352",34.2332451,-118.3738040
412,Eric's Recycling Center,19037 S Main St,Carson,90745,06037,(323) 333-0021,"19037 S Main St Carson, CA 90745",33.8572388,-118.2776546
413,Eric's Recycling Center,2181 E 10Th St,Los Angeles,90021,06037,(323) 333-0021,"2181 E 10Th St Los Angeles, CA 90021",34.0256059,-118.2336705
414,Eric's Recycling Center,8461 Whittier Blvd,Pico Rivera,90660,06037,(323) 333-0021,"8461 Whittier Blvd Pico Rivera, CA 90660",34.0049233,-118.0913731
415,Erod Recycling Center,10229 S Alameda St,Los Angeles,90002,06037,(323) 482-9221,"10229 S Alameda St Los Angeles, CA 90002",33.9435664,-118.2283759
416,ES Recycling,7601 S Broadway,Los Angeles,90003,06037,(323) 359-9942,"7601 S Broadway Los Angeles, CA 90003",33.9705309,-118.2788089
417,Esparza Recycling,1960 S Santa Fe Ave,Los Angeles,90021,06037,(323) 674-4615,"1960 S Santa Fe Ave Los Angeles, CA 90021",34.0213704,-118.2298340
418,Espinoza Recycling,4074 S Broadway Pl,Los Angeles,90037,06037,(323) 396-2856,"4074 S Broadway Pl Los Angeles, CA 90037",34.0094515,-118.2781297
419,Espinoza Recycling,9305 S Broadway,Los Angeles,90003,06037,(323) 396-2856,"9305 S Broadway Los Angeles, CA 90003",33.9516961,-118.2787248
420,Espinoza Recycling #2,1618 E Imperial Hwy,Los Angeles,90057,06037,(323) 396-2856,"1618 E Imperial Hwy Los Angeles, CA 90057",33.9292850,-118.2455471
421,Espinoza Recycling Center,13151 Van Nuys Blvd,Pacoima,91331,06037,(323) 396-2856,"13151 Van Nuys Blvd Pacoima, CA 91331",34.2682720,-118.4198959
422,Eveling Recycling,1717 Firestone Blvd,Los Angeles,90001,06037,(323) 494-1502,"1717 Firestone Blvd Los Angeles, CA 90001",33.9601549,-118.2425195
423,Eveling Recycling,8228 S Central Ave,Los Angeles,90002,06037,(323) 494-1502,"8228 S Central Ave Los Angeles, CA 90002",33.9639412,-118.2560639
424,Evergreen Recycling and Waste Inc,1230 Madera Rd,Simi Valley,93065,06111,(323) 873-7105,"1230 Madera Rd Simi Valley, CA 93065",34.2613411,-118.7947440
425,Evergreen Recycling and Waste Inc,2722 E Los Angeles Ave,Simi Valley,93065,06111,(323) 873-7105,"2722 E Los Angeles Ave Simi Valley, CA 93065",34.2705370,-118.7430909
426,Everyday Recycling,1616 W Katella Ave,Anaheim,92802,06059,(626) 290-0895,"1616 W Katella Ave Anaheim, CA 92802",33.8019412,-117.9378978
427,Evolution Recycling,584 Monterey Pass Rd,Monterey Park,91754,06037,(323) 267-0224,"584 Monterey Pass Rd Monterey Park, CA 91754",34.0554908,-118.1468546
428,Evolution Recycling #1,3535 E 14Th St,Los Angeles,90023,06037,(323) 267-0224,"3535 E 14Th St Los Angeles, CA 90023",34.0174948,-118.2017152
429,Evolution Recycling #11,3425 Whittier Blvd,Los Angeles,90022,06037,(323) 267-0224,"3425 Whittier Blvd Los Angeles, CA 90022",34.0278196,-118.2001648
430,Evolution Recycling #5,1022-1112 Walnut Ave,Tustin,92780,06059,(323) 267-0224,"1022-1112 Walnut Ave Tustin, CA 92780",33.7317679,-117.8275695
431,Evolution Recycling Inc #10,2924 W Beverly Blvd,Montebello,90640,06037,(323) 427-8256,"2924 W Beverly Blvd Montebello, CA 90640",34.0234783,-118.1345539
432,Evolution Recycling Inc #15,8116 California Ave,South Gate,90280,06037,(818) 427-8256,"8116 California Ave South Gate, CA 90280",33.9617865,-118.2042939
433,Evolution Recycling Inc #2,120 S Pine St,San Gabriel,91776,06037,(323) 267-0224,"120 S Pine St San Gabriel, CA 91776",34.1027348,-118.0920941
434,Evolution Recycling Inc #20,8150 Garvey Ave,Rosemead,91770,06037,(323) 427-8256,"8150 Garvey Ave Rosemead, CA 91770",34.0607295,-118.0916013
435,Evolution Recycling Inc #7,2925 Division St,Los Angeles,90065,06037,(323) 427-8256,"2925 Division St Los Angeles, CA 90065",34.1034531,-118.2357887
436,Evolution Recycling Inc #8,5250 York Blvd,Los Angeles,90042,06037,(323) 427-8256,"5250 York Blvd Los Angeles, CA 90042",34.1198168,-118.2012656
437,Express Cros Interstate Inc,119 W Bencamp St,San Gabriel,91776,06037,(626) 625-9935,"119 W Bencamp St San Gabriel, CA 91776",34.0786233,-118.1027451
438,Express Cross Interstate Inc,745 W Naomi Ave,Arcadia,91007,06037,(626) 625-9935,"745 W Naomi Ave Arcadia, CA 91007",34.1250289,-118.0576669
439,Express Recycling,7518 Foothill Blvd,Tujunga,91042,06037,(818) 726-5557,"7518 Foothill Blvd Tujunga, CA 91042",34.2532007,-118.2964052
440,Express Recycling & Collections Inc #2,5635 Woodruff Ave,Lakewood,90713,06037,(310) 904-4966,"5635 Woodruff Ave Lakewood, CA 90713",33.8595763,-118.1184352
441,Farmers Market,8202 Pearblossom Hwy,Littlerock,93543,06037,(661) 944-1364,"8202 Pearblossom Hwy Littlerock, CA 93543",34.5208239,-117.9834100
442,FE Recycling Center,2154 E 83Rd St,Los Angeles,90001,06037,(213) 245-5476,"2154 E 83Rd St Los Angeles, CA 90001",33.9627484,-118.2335129
443,Figueroa Recycling,9814 S Figueroa St,Los Angeles,90003,06037,(562) 419-4701,"9814 S Figueroa St Los Angeles, CA 90003",33.9466181,-118.2820657
444,Fit Recycling,4323 Floral Dr,Los Angeles,90022,06037,(323) 283-5193,"4323 Floral Dr Los Angeles, CA 90022",34.0443468,-118.1728837
445,Florencio Recycling Inc,2031 S Central Ave,Los Angeles,90011,06037,(323) 240-2341,"2031 S Central Ave Los Angeles, CA 90011",34.0230940,-118.2520447
446,Flores Recycling Center,333 S Irwindale Ave,Azusa,91702,06037,(626) 200-0249,"333 S Irwindale Ave Azusa, CA 91702",34.1169716,-117.9340971
447,Foothill Recycling,6360 Foothill Blvd,Tujunga,91042,06037,(818) 747-9877,"6360 Foothill Blvd Tujunga, CA 91042",34.2426315,-118.2703043
448,Foothill Recycling,21415 Devonshire St,Chatsworth,91311,06037,(818) 747-9877,"21415 Devonshire St Chatsworth, CA 91311",34.2581388,-118.5978087
449,Four Brothers Recycling,7548 Woodley Ave,Van Nuys,91406,06037,(818) 792-6021,"7548 Woodley Ave Van Nuys, CA 91406",34.2081523,-118.4834310
450,Freeway Recycling,2320 E Lincoln Ave,Anaheim,92816,06059,(818) 415-3363,"2320 E Lincoln Ave Anaheim, CA 92816",33.8390208,-117.8838763
451,Freeway Recycling,12048 West Street,Garden Grove,92840,06059,(818) 984-8521,"12048 West Street Garden Grove, CA 92840",33.7881625,-117.9230511
452,Freeway Recycling,1320 Mateo St,Los Angeles,90021,06037,(213) 309-2077,"1320 Mateo St Los Angeles, CA 90021",34.0281659,-118.2319782
453,Freeway Recycling,8238 Louise Ave Ste B,Northridge,91325,06037,(818) 984-8521,"8238 Louise Ave Ste B Northridge, CA 91325",34.2202144,-118.5096149
454,Freeway Recycling,18047 Saticoy St,Reseda,91335,06037,(213) 309-2077,"18047 Saticoy St Reseda, CA 91335",34.2085575,-118.5268003
455,Fullerton Recycling Center,2920 Yorba Linda Blvd,Fullerton,92831,06059,(714) 242-4088,"2920 Yorba Linda Blvd Fullerton, CA 92831",33.8887517,-117.8780161
456,G & P Recycling Center,1329 W Jefferson Blvd,Los Angeles,90007,06037,(323) 533-8531,"1329 W Jefferson Blvd Los Angeles, CA 90007",34.0256729,-118.2954274
457,G & P Recycling Center,1016 W 18Th St,Los Angeles,90015,06037,(323) 533-8531,"1016 W 18Th St Los Angeles, CA 90015",34.0387878,-118.2794095
458,G & P Recycling Center,3300 W Florence Ave,Los Angeles,90043,06037,(323) 533-8531,"3300 W Florence Ave Los Angeles, CA 90043",33.9742434,-118.3294833
459,G & P Recycling Center,110 E 17Th St,Los Angeles,90015,06037,(323) 533-8531,"110 E 17Th St Los Angeles, CA 90015",34.0325574,-118.2630404
460,G & P Recycling Center,1163 N Wilmington Blvd,Wilmington,90744,06037,(323) 533-8531,"1163 N Wilmington Blvd Wilmington, CA 90744",33.7860287,-118.2752107
461,G E Recycling Co Inc,19320 Vanowen St,Reseda,91335,06037,(818) 523-8778,"19320 Vanowen St Reseda, CA 91335",34.1935824,-118.5544225
462,G E Recycling Co Inc,7444 Florence Ave,Downey,90241,06037,(562) 927-4404,"7444 Florence Ave Downey, CA 90241",33.9575901,-118.1394233
463,G E Recycling Co Inc,20440 Devonshire St,Chatsworth,91311,06037,(818) 523-8778,"20440 Devonshire St Chatsworth, CA 91311",34.2566453,-118.5786407
464,G E Recycling Co Inc,8008 Laurel Canyon Blvd,North Hollywood,91605,06037,(818) 523-8778,"8008 Laurel Canyon Blvd North Hollywood, CA 91605",34.2160182,-118.3961944
465,G-Rod Recycling Inc,1459 S Anaheim Blvd,Anaheim,92805,06059,(714) 749-9719,"1459 S Anaheim Blvd Anaheim, CA 92805",33.8116914,-117.9065040
466,GAG Recycling,13225 Van Nuys Blvd,Pacoima,91331,06037,(818) 445-0285,"13225 Van Nuys Blvd Pacoima, CA 91331",34.2671503,-118.4212563
467,Garcia Recycling Center & Metals,13862 Seaboard Cir,Garden Grove,92843,06059,714-5543213,"13862 Seaboard Cir Garden Grove, CA 92843",33.7616802,-117.9219742
468,Gardena Recycling Center Inc,1538 W 134Th St,Gardena,90249,06037,(310) 516-8195,"1538 W 134Th St Gardena, CA 90249",33.9101621,-118.3037473
469,General Metal Recycling Co,1541 W Washington Blvd,Montebello,90640,06037,(323) 722-9995,"1541 W Washington Blvd Montebello, CA 90640",34.0401903,-118.2903161
470,Genesis Recycling,38709 N Tierra Subida St,Palmdale,93551,06037,(818) 482-9307,"38709 N Tierra Subida St Palmdale, CA 93551",34.5855755,-118.1478799
471,Genesis Recycling,3624 Smith Ave,Acton,93551,06037,(818) 482-9307,"3624 Smith Ave Acton, CA 93551",34.4678535,-118.1958007
472,Genesis Recycling,801 Rinaldi St Ste R,San Fernando,91345,06037,(818) 482-9307,"801 Rinaldi St Ste R San Fernando, CA 91345",34.2823923,-118.4531913
473,Genesis Recycling,2520 E Palmdale Blvd,Palmdale,93550,06037,(818) 400-8702,"2520 E Palmdale Blvd Palmdale, CA 93550",34.5790982,-118.0833706
474,Genesis Recycling,4033 W Avenue L,Lancaster,93536,06037,(818) 482-9307,"4033 W Avenue L Lancaster, CA 93536",34.6616089,-118.2023713
475,Ginas Recycling Center,4840 Peck Rd,El Monte,91732,06037,(626) 628-6117,"4840 Peck Rd El Monte, CA 91732",34.0917907,-118.0132499
476,Glendale Recycling Center Inc,1850 Glendale Blvd,Los Angeles,90026,06037,(818) 334-0934,"1850 Glendale Blvd Los Angeles, CA 90026",34.0891601,-118.2590064
477,Global Metal Recycling Inc,1011 E Pine St,Santa Ana,92701,06059,(714) 547-9079,"1011 E Pine St Santa Ana, CA 92701",33.7439293,-117.8545409
478,Go Green Recycling Center,17643 Sherman Way,Van Nuys,91406,06037,(818) 579-5596,"17643 Sherman Way Van Nuys, CA 91406",34.2015457,-118.5182548
479,Go Green SF,12643 San Fernando Rd,Sylmar,91342,06037,(818) 579-5596,"12643 San Fernando Rd Sylmar, CA 91342",34.2988538,-118.4593190
480,Golden Recycle Company Inc,8352 Katella Ave,Stanton,90680,06059,(714) 995-9020,"8352 Katella Ave Stanton, CA 90680",33.8025480,-117.9868768
481,Good Earth Recycling Center,2041 W Commonwealth Ave,Fullerton,92833,06059,(310) 706-5398,"2041 W Commonwealth Ave Fullerton, CA 92833",33.8702550,-117.9675080
482,Good Earth Recycling Center Inc,2005 Bixby Rd,Lakewood,90712,06037,(562) 490-0072,"2005 Bixby Rd Lakewood, CA 90712",33.8269107,-118.1665942
483,Granicy Square Recycling,43040 20Th St E,Lancaster,93535,06037,(661) 948-1860,"43040 20Th St E Lancaster, CA 93535",34.6645306,-118.0932400
484,Great Future Recycling Inc #3,1433 Valinda Ave,La Puente,91744,06037,(310) 990-1464,"1433 Valinda Ave La Puente, CA 91744",34.0448561,-117.9264105
485,Green Base Recycling Inc,10375 Balboa Blvd,Granada Hills,91344,06037,(818) 331-2128,"10375 Balboa Blvd Granada Hills, CA 91344",34.2590547,-118.5026132
486,Green Bull Recycling,10201 S Vermont Ave,Los Angeles,90044,06037,(760) 881-8399,"10201 S Vermont Ave Los Angeles, CA 90044",33.9438859,-118.2921660
487,Green Bull Recycling 3,2728 E Hullett St,Long Beach,90805,06037,(760) 881-8399,"2728 E Hullett St Long Beach, CA 90805",33.8608570,-118.1588640
488,Green Clean Planet Recycling,623 W Olympic Blvd,Montebello,90640-5229,06037,(562) 395-8198,"623 W Olympic Blvd Montebello, CA 90640-5229",34.0058506,-118.1083541
489,Green Earth Recycling,5926 Monterey Rd,Los Angeles,90042,06037,(818) 523-8778,"5926 Monterey Rd Los Angeles, CA 90042",34.1050514,-118.1831697
490,Green Earth Recycling,7355 Lankershim Blvd,North Hollywood,91605,06037,(818) 523-8778,"7355 Lankershim Blvd North Hollywood, CA 91605",34.2041710,-118.3887423
